id,fecha,canal,puntuacion,titulo,resena
1,2024-11-03,Trustpilot,2,"Se cuelga constantemente","Llevamos tres semanas usando FlowDesk en el equipo y casi todos los días hay algún problema de rendimiento. La app se congela al cargar tableros con muchas tarjetas. El soporte tardó 4 días en responder y la solución fue reinstalar. No es viable para un equipo en producción."
2,2024-11-05,G2,5,"Ha cambiado nuestra forma de trabajar","Migramos desde Asana hace dos meses y no volvería atrás. La vista de cronograma es clarísima, los automatismos funcionan de verdad y el onboarding fue muy rápido. El soporte respondió en menos de una hora cuando tuvimos una duda con los permisos."
3,2024-11-06,App Store,1,"Imposible conectar con Google Calendar","Llevo dos semanas intentando sincronizar mi Google Calendar y nunca funciona bien. Las reuniones aparecen duplicadas o directamente no aparecen. He reportado el bug tres veces y sigo sin solución. Para mi caso de uso esto es bloqueante."
4,2024-11-08,Capterra,4,"Muy buena herramienta, precio algo elevado","La funcionalidad es excelente: vistas kanban, gantt y lista en el mismo proyecto, reportes exportables y la integración con Slack funciona perfectamente. Le quito una estrella porque el plan de equipo sube mucho de precio a partir de 10 usuarios."
5,2024-11-09,Trustpilot,5,"Soporte excepcional","Tuvimos un problema con la importación de datos desde Trello y el equipo de soporte nos guió paso a paso hasta resolverlo. Se nota que hay personas reales detrás, no solo bots. La herramienta en sí también es muy sólida."
6,2024-11-10,G2,3,"Prometedor pero le faltan cosas","La interfaz es bonita y la curva de aprendizaje no es muy alta. Sin embargo, echamos de menos poder crear campos personalizados en las subtareas y la app móvil es bastante limitada comparada con el escritorio. Esperamos que mejore."
7,2024-11-11,App Store,2,"La app móvil es prácticamente inútil","Entiendo que el producto principal es el escritorio, pero la app de iOS tiene bugs graves: no puedes adjuntar archivos, las notificaciones llegan con horas de retraso y a veces cierra sola. Para trabajar en movimiento es frustrante."
8,2024-11-12,Capterra,5,"El mejor sistema que hemos probado en 5 años","Hemos pasado por Basecamp, Monday y ClickUp. FlowDesk es el único que nuestro equipo ha adoptado de verdad sin resistencia. Los templates de proyectos ahorraron semanas de configuración inicial."
9,2024-11-13,Trustpilot,1,"Perdimos datos tras una actualización","Después de la actualización del 8 de noviembre, desaparecieron comentarios y adjuntos de varios proyectos. El soporte reconoció el problema pero tardaron 6 días en restaurar los datos. Inaceptable para una herramienta de trabajo."
10,2024-11-14,G2,4,"Ideal para equipos de producto","Las integraciones con Figma y GitHub son las que más usamos. Ver el estado de un PR directamente en la tarea es un ahorro de tiempo real. La función de roadmap público también nos ha servido para alinear con stakeholders."
11,2024-11-15,App Store,3,"Bien, pero el precio no escala bien","Para un equipo pequeño está muy bien. El problema es que cuando crecemos necesitamos el plan Enterprise y el salto de precio es enorme sin que las funcionalidades extra justifiquen tanto la diferencia. Deberían revisar los tramos de precios."
12,2024-11-16,Capterra,5,"Automatizaciones que de verdad funcionan","Configuramos en un día automatismos para mover tareas, notificar al equipo y actualizar campos según condiciones. En otras herramientas esto requería Zapier o código. Aquí está incluido y funciona sin fallos."
13,2024-11-17,Trustpilot,2,"Onboarding confuso para usuarios no técnicos","Nuestro equipo de marketing tuvo muchas dificultades para empezar. La documentación asume conocimientos que no todo el mundo tiene y los videos tutoriales están desactualizados respecto a la versión actual. Necesita mejor soporte de onboarding."
14,2024-11-18,G2,5,"Lo recomiendo sin dudar","Llevamos 8 meses y el equipo está muy contento. Los reportes de carga de trabajo nos ayudan a detectar cuellos de botella antes de que sean un problema. La calidad del producto mejora con cada actualización."
15,2024-11-19,App Store,4,"Muy completo, aunque algo lento en proyectos grandes","Para proyectos con más de 500 tareas la interfaz empieza a ir un poco lenta, especialmente en la vista de gantt. Espero que optimicen esto. Por lo demás, es la herramienta más completa que he usado."
16,2024-11-20,Capterra,1,"El soporte no responde","Llevo 10 días esperando respuesta a un ticket sobre facturación. Me han cobrado dos veces el mismo mes y nadie contesta. He probado por email, por chat y por Twitter. Escalando a mi banco si no resuelven esta semana."
17,2024-11-21,Trustpilot,5,"Perfecto para agencias","Gestionamos proyectos de 12 clientes distintos desde un solo workspace. La separación por espacios de trabajo y los permisos granulares son exactamente lo que necesitábamos. El modo guest para clientes también es muy útil."
18,2024-11-22,G2,3,"La búsqueda deja mucho que desear","La funcionalidad general es buena pero la búsqueda global es muy básica. No puedes filtrar por fecha, por asignado y por proyecto a la vez. Para equipos grandes con muchas tareas esto se vuelve un problema real en el día a día."
19,2024-11-23,App Store,5,"Actualizaciones constantes y en la buena dirección","Cada mes sacan mejoras reales, no solo parches. Esta semana añadieron la integración con Notion que teníamos pedida desde hace tiempo. Se nota que escuchan el feedback de los usuarios."
20,2024-11-24,Capterra,2,"Los reportes no exportan bien a Excel","Los reportes en pantalla están bien pero al exportar a CSV los campos de fecha no tienen formato estándar y hay caracteres extraños en los títulos con tildes. Para equipos que trabajan con Excel esto es un dolor de cabeza continuo."
21,2024-11-25,Trustpilot,4,"Buena relación calidad-precio para startups","En el plan de inicio tienes todo lo que necesita un equipo de hasta 5 personas. Cuando crecimos a 8 el salto de precio fue notable pero las funcionalidades adicionales lo justificaron. Buena opción para startups en fase temprana."
22,2024-11-26,G2,1,"Datos incorrectos en los reportes de tiempo","Los registros de tiempo que exportamos no cuadran con lo que vemos en pantalla. Hay diferencias de horas en varios proyectos. Esto afecta directamente a nuestra facturación a clientes. Bug crítico sin resolver desde hace semanas."
23,2024-11-27,App Store,5,"El mejor onboarding que he visto","En menos de una hora teníamos el equipo configurado y trabajando. Los templates son muy prácticos y el asistente de configuración inicial te lleva de la mano sin agobiar. Ojalá todas las herramientas B2B lo hicieran así."
24,2024-11-28,Capterra,3,"Funciona, pero la interfaz podría ser más intuitiva","Algunas acciones requieren demasiados clics y no siempre es obvio dónde está cada cosa. Después de un mes de uso ya lo tenemos asumido, pero la curva inicial fue más alta de lo esperado para usuarios no técnicos del equipo."
25,2024-11-29,Trustpilot,4,"Integraciones muy sólidas","Tenemos conectado FlowDesk con Slack, GitHub y nuestro CRM mediante la API. La documentación de la API es clara y el equipo de integraciones respondió rápido cuando tuvimos dudas. Solo falta integración nativa con HubSpot."
26,2024-11-30,G2,2,"Notificaciones fuera de control","Recibes notificaciones por absolutamente todo y configurar qué quieres recibir es un laberinto. Acabas silenciándolo todo y perdiéndote cosas importantes. Necesitan una revisión completa del sistema de notificaciones."
27,2024-12-01,App Store,5,"Imprescindible para trabajo remoto","Nuestro equipo está en cuatro países y FlowDesk ha sido clave para mantenernos sincronizados. La vista de zonas horarias en el calendario y los resúmenes diarios automáticos son funciones que no cambiaría por nada."
28,2024-12-02,Capterra,3,"Precio justo, rendimiento mejorable","Por el precio está bien. El mayor punto de mejora es el rendimiento: en conexiones lentas la app carga muy despacio y no tiene modo offline. Para trabajar desde lugares con mala cobertura es un problema."
29,2024-12-03,Trustpilot,1,"Cancelación imposible","Quise cancelar la suscripción y no hay forma de hacerlo desde el panel. Te obliga a contactar con soporte, que tarda días en responder. Práctica muy cuestionable que espero que cambien. Al final tuve que bloquear el cargo con el banco."
30,2024-12-04,G2,5,"El gantt interactivo es una maravilla","Arrastrar tareas en el gantt y ver cómo se recalculan automáticamente las dependencias nos ha ahorrado horas de planificación cada semana. Es la función que más valora nuestro equipo de operaciones sin ninguna duda."
